嫌弃,[0.40267035]
可否,[0.00160839]
Gigi,[0.49885502]
艳日,[-0.4139953]
中对望,[-0.05571602]
美都,[-0.18803686]
左拥,[-0.07809931]
具体,[0.18370126]
独白,[0.44149438]
盼头,[0.17374758]
孤寂,[-0.0462587]
情欲,[-0.0517872]
何为,[-0.10816737]
笑意,[-0.48146823]
不要紧,[0.07234413]
静止,[0.20038925]
看不到,[0.24547684]
清风,[0.38956442]
版本,[-0.02015624]
某个,[-0.442679]
哪怕,[-0.2557135]
自己,[0.46163473]
全世界,[-0.05392748]
海上,[-0.3067483]
现场,[0.3141743]
永远,[-0.06670369]
前面,[-0.48344976]
喜欢,[0.33377606]
不得,[-0.40706858]
一句,[0.48402736]
其实,[0.33068302]
不要,[0.04307267]
这么,[-0.12650388]
因为,[0.12943439]
