谢安琪,[-0.01293105]
钟无艳,[-0.06179212]
首歌,[-0.2733352]
拿掉,[0.04917925]
吃剩,[0.30983213]
第二种,[-0.4759395]
最好,[-0.11151304]
放手,[-0.36151367]
第一种,[0.07913498]
大哭,[-0.06695203]
细腻,[-0.47047138]
富贵,[0.19675158]
梦想,[0.04382409]
葡萄,[-0.28762016]
漂亮,[0.2676981]
一颗,[0.13719483]
秋衣,[0.30663323]
只有,[0.49622363]
写作文,[-0.32453617]
昆德拉,[0.18291867]
声线,[-0.20874436]
不唱情,[-0.4023017]
的萄里,[0.50250655]
两生,[0.36728877]
女主,[-0.33621523]
大美人,[0.15842393]
苦寻空,[-0.4051411]
只知,[-0.1009626]
TVB,[0.19537516]
kay,[0.01175832]
梦回,[-0.02881461]
自怨,[0.43339324]
生悲,[0.17112353]
朋友,[0.4293639]
粤语,[-0.4096743]
咬字,[0.36508298]
喜欢,[0.3340236]
二十几岁,[-0.32365918]
减法,[-0.27373755]
声音,[-0.33715123]
世情,[0.3510349]
剪辑,[0.26992333]
少奶奶,[-0.0603703]
红心,[-0.24141464]
分道扬镳,[0.14724106]
花开,[0.18001182]
情爱,[0.51229256]
适得其反,[-0.16810416]
辨识,[0.1894959]
插曲,[-0.33669287]
无助,[0.13463642]
高层次,[0.2893063]
走红,[-0.16803525]
楼台,[-0.01801974]
应该,[-0.13743739]
反差,[-0.18182798]
称得上,[0.23451798]
国语,[-0.41537142]
五官,[-0.02806795]
发音,[-0.44239816]
米兰,[-0.25116238]
最爱,[0.38629058]
偏要,[0.50601804]
不见得,[0.4133538]
吵架,[0.2033646]
最坏,[-0.1571927]
未了,[0.31624493]
到手,[-0.05534934]
固执,[0.46603733]
电视剧,[0.48167154]
歌曲,[-0.07570435]
一种,[-0.34247524]
奈何,[0.00463616]
譬如,[-0.2399969]
一串,[-0.15679151]
小时候,[-0.49353215]
因为,[0.12626193]
一些,[0.06635897]
难怪,[-0.00843071]
照例,[-0.25749916]
精致,[-0.3876187]
悲观,[0.31293878]
温柔,[-0.29987255]
喜爱,[0.1236015]
缘故,[-0.03224662]
上帝,[0.04871648]
人心,[0.18984036]
回忆,[0.28932494]
有时候,[0.16154662]
偶然,[0.48631686]
感动,[-0.09172638]
深刻,[0.49657583]
