keyword,vector
哥哥,[-0.47805208]
刘嘉玲,[-0.37735745]
张国荣,[0.17483306]
KTV,[0.00664421]
Leslie,[-0.20207728]
生前,[-0.01564496]
首歌,[-0.2823296]
去世,[0.43151113]
多少,[0.42247507]
但求,[0.0704869]
歌词,[-0.3469781]
一个,[0.06312482]
倒霉,[-0.34739342]
分开,[-0.03664871]
也好,[0.3177847]
一日,[-0.50602746]
半年,[0.16747324]
敢爱敢恨,[0.32724702]
爱火,[0.06674974]
记得,[0.23927382]
吴清源,[-0.3481914]
永远,[-0.06687]
一种,[-0.34969476]
单曲,[-0.2239959]
不知羞耻,[0.40746963]
莫文蔚,[0.04099388]
基佬,[-0.36689988]
度過,[-0.04622657]
娈童案,[0.21784744]
我唱給,[-0.18757546]
泪目,[-0.35289702]
cd,[0.4381934]
泪点,[0.11855897]
烂牌,[-0.39481932]
爱情专一,[-0.1551566]
必唱,[-0.38430262]
uncle,[0.22799598]
合照,[-0.1545136]
国考,[-0.23629299]
昨天,[-0.19852611]
美好时光,[0.34462842]
张学友,[-0.02990449]
汪涵,[0.46921244]
不是,[0.19094558]
励志,[-0.26069316]
色拉寺,[0.29009864]
难挨,[-0.35123116]
暂别,[0.26249376]
直呼,[-0.48317719]
万念俱灰,[-0.1994659]
看着,[-0.45773414]
风流倜傥,[-0.36394146]
演唱会,[-0.22895057]
心地善良,[0.05693447]
年月日,[-0.1084897]
哭个,[-0.49492598]
莫须有,[0.09960634]
老妇人,[-0.25040713]
敢言,[0.40135288]
字字,[-0.28888538]
身经百战,[-0.40398395]
今天,[0.35970584]
杰克逊,[0.23501252]
乳腺癌,[0.39305362]
黑猫,[-0.00714094]
活在,[-0.23107111]
巨星,[-0.4267175]
看到,[-0.07546266]
逝去,[-0.4145792]
觉得,[0.22641174]
一棵树,[-0.05159153]
偶像,[-0.01508675]
脊梁,[-0.1503163]
心内,[-0.48233917]
专一,[0.36026448]
格调,[-0.05716315]
尽心,[0.47403368]
抓到,[-0.34788024]
爱护,[0.00821856]
屏幕,[0.38565424]
告示,[-0.4185497]
那一刻,[-0.45257768]
好听,[-0.08340751]
曲子,[-0.00353504]
优雅,[-0.034957]
拉萨,[0.10397541]
最坏,[-0.15988216]
幼儿园,[0.4839114]
怀念,[0.20271975]
宽容,[0.00970286]
过往,[0.30619317]
查出,[-0.10917918]
真诚,[-0.17716874]
汉奸,[0.12607844]
睡不着,[0.28595933]
坚强,[0.06742182]
骄傲,[0.13112327]
善良,[0.3670546]
大哭,[-0.09550925]
签名,[0.46126065]
预料,[0.0910638]
孤独,[0.4885534]
心目,[0.1101892]
流泪,[0.4977244]
风雨,[-0.3526699]
渡过,[0.38047177]
还是,[-0.02940296]
画面,[-0.29692966]
一首,[-0.30941844]
留给,[0.15712376]
感叹,[0.35049397]
大师,[-0.10346168]
长久,[-0.34152523]
转到,[0.22534405]
之声,[-0.46358666]
遗憾,[-0.13179354]
分享,[0.19132113]
欣赏,[0.01500957]
教会,[-0.11655075]
一期,[-0.1273746]
安静,[-0.36389512]
度过,[-0.23816921]
死者,[-0.22909647]
人间,[-0.20742573]
谢谢,[-0.128099]
离婚,[-0.34827513]
甚么,[0.39658064]
我会,[-0.26761517]
品质,[-0.36160988]
信仰,[0.09936448]
说起,[-0.20123228]
爱心,[-0.06702837]
感动,[-0.0968477]
圆规,[-0.35147813]
一段,[-0.49326903]
因为,[0.12893875]
AGA,[-0.04590064]
完是,[-0.04420764]
美滿,[-0.02181422]
圓是,[0.0515116]
婚礼,[0.21853924]
粤语,[-0.41555417]
同音,[-0.2643417]
所有,[-0.47826597]
哀伤,[0.17429483]
送上,[0.4786678]
痛恨,[0.1827109]
好听,[-0.08150319]
其实,[0.33205864]
可是,[0.13378389]
心不变,[0.33178198]
整首,[-0.21828963]
两首歌,[-0.41569576]
幸福,[-0.33731198]
小心,[-0.3208818]
示爱,[0.13165593]
需要,[-0.4066662]
眼泪,[0.13665718]
有缘人,[0.4355512]
画圆,[-0.44270802]
令人,[0.25858656]
失散多年,[0.44409856]
变圆,[0.30201674]
光芒万丈,[0.0902468]
月圓,[-0.21550515]
一樣,[-0.2226414]
林若宁,[0.4210758]
開始,[-0.49496102]
太棒,[0.1836906]
難受,[0.42383045]
臉圓,[-0.32897338]
人間,[0.41307116]
會遇,[-0.08292124]
满是,[-0.2727803]
新歌,[-0.06701566]
Wonderful,[-0.12307053]
成為,[-0.24995202]
圓雖則,[0.09960169]
樂園,[0.38793957]
这首词,[-0.44003236]
轉的,[-0.4434151]
那個,[0.14286041]
不夠,[-0.1846418]
快樂快,[-0.12097272]
永遠,[0.3079513]
最愛已,[0.25168952]
眷戀,[-0.27651143]
圓的線,[0.27770457]
許願,[-0.00900119]
團聚,[-0.08818851]
甘願,[-0.23438987]
很方,[0.29267427]
wonderful,[0.22571136]
願誠心,[-0.09459224]
遺憾,[-0.27384713]
完卫兰,[0.06535116]
轉出,[-0.16301547]
願離開,[-0.0592507]
歡欣,[-0.20176174]
結尾,[0.48274356]
經不會,[-0.05060061]
如果,[0.35687858]
男人,[-0.01476173]
有情人,[0.2502361]
过段时间,[-0.19288017]
愿意,[-0.1374311]
找到,[-0.15430921]
小王子,[-0.06954739]
别人,[-0.34599033]
以为,[0.43678856]
圈圈,[-0.18676864]
来自,[0.35112727]
翩翩起舞,[0.1300337]
首歌,[-0.28249207]
别来,[0.03246587]
跟你走,[-0.38466838]
讲道理,[0.0726596]
红地毯,[-0.02503885]
适时地,[-0.24605308]
稳稳,[-0.17991425]
一圈圈,[-0.20289573]
针头,[0.3856226]
驯服,[0.44774866]
圆心,[0.44002837]
振振有词,[-0.09397474]
圆周率,[-0.43342867]
心碎,[-0.34371144]
英雄气概,[-0.03077359]
美满,[0.2597146]
有生,[0.19454175]
刺伤,[-0.18009268]
知不知道,[0.0811832]
驻足,[-0.45340213]
自卑,[0.41055626]
悼念,[-0.27217093]
一起,[-0.36927724]
通通,[0.03714212]
场子,[0.2078192]
举杯,[0.18774961]
团圆,[-0.41157892]
想得到,[0.04613036]
自负,[-0.24441037]
并不一定,[0.3523168]
那句,[0.41613007]
欠缺,[0.04533626]
最怕,[0.12356572]
一样,[-0.1825611]
只是,[0.32830366]
甜蜜,[0.13025445]
假装,[-0.376472]
情人,[-0.24714826]
惧怕,[-0.13028651]
绝不能,[0.17984544]
软弱,[0.38534772]
深情,[0.16114727]
分手,[0.29487175]
电话,[-0.34260005]
妈妈,[-0.10606375]
梦境,[0.27939838]
两年,[-0.47264448]
比如,[-0.24473178]
思念,[-0.070642]
大哭,[-0.10420041]
不要,[0.05104627]
就是,[-0.24564417]
后人乘凉,[0.08236159]
夸起,[-0.39116585]
查岗,[-0.31202462]
就算,[-0.32969958]
意识,[0.27176362]
手机,[-0.17643884]
空号,[0.43910635]
深入骨髓,[-0.23339811]
不用,[-0.265487]
撩妹,[0.15919259]
不接,[-0.41612357]
粤知,[0.42589507]
竟连,[0.3357708]
前人栽树,[-0.23235182]
我来,[0.39264393]
那种,[0.3425434]
知道,[0.31438032]
如果,[0.3500205]
曾经,[0.38001975]
好久不见,[-0.1250175]
身边,[0.20345977]
青涩,[0.4419695]
听到,[0.36568326]
一个,[0.05349198]
别人,[-0.34069276]
以为,[0.42943555]
中心思想,[0.34589112]
离开,[0.02189818]
寄出,[0.1837363]
情话,[0.23956797]
首歌,[-0.29437637]
为什么,[0.10852506]
信息,[-0.43516818]
吓一跳,[-0.38532016]
磨合,[-0.00369237]
我们,[-0.29596084]
走神,[-0.15293282]
风尘仆仆,[0.19460717]
哭腔,[0.26374918]
控制力,[-0.08084621]
心碎,[-0.3488698]
七次,[0.21734911]
举个,[0.2676975]
朦朦胧胧,[-0.46615222]
熬过,[-0.35435125]
餐桌,[0.30057475]
卑微,[-0.39226723]
初恋,[-0.24057516]
相亲,[-0.05599263]
极致,[0.5053571]
接电话,[0.01375223]
大半个,[-0.3960448]
讲完,[-0.3800415]
那么,[-0.09902535]
对视,[-0.21593308]
钟头,[0.13366143]
梦里,[0.06153584]
翻看,[-0.10193111]
男朋友,[0.30870157]
煎熬,[0.24497856]
女朋友,[-0.04948306]
一分钟,[0.3317059]
异地,[0.00814549]
命中,[0.2684659]
打扰,[-0.27289665]
祝福,[-0.16419701]
吵架,[0.18466982]
静静,[0.3880098]
一二,[-0.30735868]
心血,[0.05362741]
一定,[0.2771531]
放过,[-0.4392889]
歌曲,[-0.08831242]
浪漫主义,[-0.32152122]
高中,[0.14489338]
王子,[-0.490444]
高手,[-0.29611498]
楼下,[0.10547802]
立马,[-0.42243886]
车站,[0.3341204]
出事,[-0.10527087]
不理,[0.29768106]
被子,[0.19675282]
恋爱,[0.05072636]
开车,[0.03466048]
浪费,[-0.25108922]
趁着,[0.3024563]
女孩子,[-0.20194143]
眼色,[0.18813318]
开始,[-0.05629674]
醒来,[-0.22024919]
美好,[0.19240001]
可爱,[-0.16486748]
不是,[0.19056818]
完美,[-0.25526497]
女孩,[-0.4569838]
多久,[0.17911111]
优点,[0.47161075]
力气,[0.26221693]
我会,[-0.26686302]
打电话,[-0.09312993]
第三次,[0.05314582]
犹豫,[-0.24813396]
走过,[0.00877425]
对面,[-0.39762178]
要说,[-0.23798944]
过后,[-0.19711089]
经典,[-0.5059911]
薛之谦苦,[-0.35591283]
南有,[-0.2309732]
周柏豪,[0.13963738]
周柏豪勤,[-0.34152567]
粤语歌,[0.44575146]
北有,[-0.50200987]
备胎,[0.45324567]
拼音,[0.14113657]
发来,[-0.0519897]
情人,[-0.25158808]
不是,[0.19948995]
爱情,[0.10093106]
因为,[0.12756845]
恻隐,[0.40976757]
我能,[0.31588694]
街为,[-0.4069654]
冷暴力,[0.22236183]
shuimian,[0.04168335]
陈奕迅,[-0.15965681]
人好,[0.42522386]
顺丰,[-0.3271961]
粤语版,[-0.11021639]
shimian,[0.24834701]
主题曲,[-0.42849362]
喜欢,[0.33485797]
笙箫,[0.41201586]
相敬如宾,[-0.20274317]
华语,[0.4567565]
大手大脚,[0.42873788]
赴汤蹈火,[-0.30910382]
周杰伦,[0.45555913]
首歌,[-0.28777108]
什么,[0.47291762]
一首歌,[0.02108762]
他们,[-0.28400132]
明白,[-0.24919043]
旗子,[-0.14724134]
快递,[-0.43968642]
