可爱,[-0.15641405]
客家话,[-0.32725886]
首歌,[-0.28722027]
态度,[0.15258315]
普通话,[-0.19431311]
Kay,[-0.14182846]
kay,[-0.01686246]
这歌,[0.06689826]
粤语,[-0.4203743]
英语,[0.07848912]
包容,[-0.3327738]
那种,[0.33154646]
语气,[0.2552642]
温柔,[-0.3116027]
性格,[0.36910102]
穿插着,[0.3383818]
广东,[0.48911622]
奸笑,[-0.28711084]
不爱学,[0.04251109]
包溶,[0.14483412]
妈带,[-0.03183598]
红少些,[-0.258594]
歌中,[-0.3356813]
Fish,[0.33287185]
joey,[0.18403743]
钟意,[0.24788997]
亲民,[0.13579205]
谢安琪,[-0.02890658]
要学,[-0.15549195]
TVB,[0.17885087]
Chips,[0.09475853]
残粉,[0.07448632]
我入,[0.1483088]
懂好,[0.44533154]
ABC,[0.43602738]
选餐,[0.19458404]
fa,[-0.2593224]
女歌手,[-0.13859573]
广东话,[0.295725]
高人一等,[-0.3184557]
喜欢,[0.3339595]
二胎,[-0.42463717]
表明,[-0.42087883]
大家闺秀,[0.31808472]
麦兜,[-0.06533197]
文武双全,[0.00249797]
客家人,[-0.41565552]
真不愧是,[-0.23317754]
知性,[-0.43481508]
亦然,[-0.27290055]
自己,[0.4578145]
多种语言,[-0.23924793]
永远都是,[0.03154843]
不怨,[-0.0980988]
学识渊博,[-0.09111154]
撇嘴,[-0.40936738]
大大咧咧,[0.22401503]
风雅,[-0.30982718]
上手,[0.12649669]
大家,[-0.46744937]
歇斯底里,[-0.09093006]
作答,[0.11729041]
觉得,[0.23044367]
带点,[-0.21070424]
看电视,[-0.42117813]
铃声,[-0.33034405]
新世界,[-0.39550215]
天赋,[-0.42702332]
这里,[-0.09825526]
辛辣,[-0.48568106]
女朋友,[-0.0491969]
不会,[-0.13112435]
好听,[-0.0822417]
不失,[-0.3636107]
高贵,[0.19413188]
吵架,[0.19783057]
调皮,[-0.4620556]
见证,[-0.15179124]
告诫,[0.06949208]
上课,[-0.4410451]
珠江,[-0.2494694]
有种,[0.19520916]
抗拒,[-0.28157935]
开心,[0.22323337]
气质,[-0.09014703]
无需,[-0.0393809]
见识,[0.12316771]
讽刺,[0.14293924]
排斥,[0.16118947]
民国,[-0.3881564]
英文,[-0.35232124]
从不,[-0.1383293]
不是,[0.20137753]
压制,[0.19590433]
坚定,[0.20877485]
人间,[-0.20294054]
打电话,[-0.10721554]
不准,[0.05884388]
无限,[0.40472615]
温暖,[0.16063891]
跟随,[-0.41652486]
循环,[0.03449509]
福建,[-0.35457954]
带有,[0.07165948]
开放,[0.2789503]
