一遍,[0.12031163]
评论,[-0.33365974]
电瓶车,[0.06424084]
憨笑,[0.06011978]
烟花,[0.27106836]
什么,[0.47739327]
喜欢,[0.3335644]
风吹,[0.15971048]
啤酒,[-0.07562257]
所有,[-0.47384444]
按摩椅,[0.08474175]
结婚,[-0.4208612]
听的歌,[-0.23970088]
一个桶,[-0.23171724]
祝你幸福,[-0.06784865]
骑个,[0.14536083]
这代人,[-0.05378947]
罐全,[-0.2236234]
吃不胖,[-0.32671216]
however,[0.4197896]
我读,[-0.17031686]
人点,[0.24226758]
下赞,[0.12798946]
三罐,[-0.3153678]
不丑,[-0.35036442]
孤独寂寞,[0.02412485]
假牙,[0.37143978]
先尝,[0.10789432]
不好,[-0.12547399]
推荐,[-0.4719657]
肯德基,[-0.36587664]
首歌,[-0.2789228]
老妈,[0.00764057]
懒惰,[0.13388576]
撇嘴,[-0.40307403]
余生,[-0.46231145]
九岁,[0.3322462]
翻着,[0.00273748]
买好,[-0.04104537]
一箱,[-0.302744]
很会,[0.05723646]
的话,[0.02547902]
糊里糊涂,[0.20379733]
这么,[-0.12719886]
哀伤,[0.16827]
河堤,[0.21932341]
涨得,[0.3452251]
女朋友,[-0.04428823]
麻痹,[0.34615293]
二十多年,[0.2608542]
陌生人,[0.3235355]
打扰,[-0.26460594]
拐杖,[-0.3048504]
没来,[-0.1892644]
吃饱,[0.03148495]
网易,[0.10100244]
爱心,[-0.06406642]
深情,[0.16270244]
所以,[-0.14631659]
河里,[0.08376762]
辜负,[0.26157048]
工作,[0.22342692]
放过,[-0.42511776]
冰冷,[-0.4938352]
上岸,[0.16629672]
无需,[-0.02971799]
指点,[-0.01395303]
终究,[-0.21283345]
还是,[-0.02583319]
路过,[0.36291218]
下手,[0.09975881]
河边,[-0.18588284]
大雪,[0.078703]
围着,[0.09472374]
未知,[0.36251533]
得不到,[0.11870082]
分享,[0.19934063]
快乐,[-0.44265518]
我会,[-0.25272125]
经典,[-0.48852074]
麻烦,[0.11179377]
音乐,[-0.460936]
人群,[0.45320368]
痛苦,[-0.3272412]
或许,[-0.04313708]
害怕,[0.02793036]
做好,[-0.4819628]
回家,[0.16125543]
打开,[0.43554664]
值得,[0.12912549]
当年,[0.44442743]
之外,[0.433585]
经历,[-0.08959287]
家里,[-0.45855933]
感觉,[0.21321894]
出去,[0.15864104]
真的,[-0.11225114]
下去,[-0.41570523]
别人,[-0.34450555]
坐在,[0.4288736]
面前,[0.46506736]
拥有,[-0.07902092]
真正,[0.36709824]
明白,[-0.24056667]
考虑,[0.49628532]
有人,[-0.23516776]
一切,[0.4779589]
城市,[-0.05100232]
一起,[-0.36015278]
那些,[0.21024074]
你们,[0.21392877]
未来,[-0.41786182]
应该,[-0.14002864]
最后,[-0.2418724]
为了,[0.23767306]
一直,[0.08737819]
怎么,[-0.34249339]
对于,[0.02501461]
