师奶,[0.01726648]
吴卓羲,[-0.30628067]
原唱,[0.1011299]
东莞,[0.02848342]
我会,[-0.25899428]
下次,[0.13965279]
酒店,[-0.3831207]
评论,[-0.3342071]
翻唱,[0.11508438]
太子,[0.34880844]
一般般,[0.16057098]
广东,[0.49495414]
酒店风云,[0.32947224]
双龙传,[0.33818066]
你理,[-0.0763739]
推远,[-0.3327425]
TVB,[0.19053459]
少人,[0.37027007]
过花,[0.00043256]
没人知,[0.09891871]
这歌,[0.07507128]
喜欢,[0.33630252]
憨笑,[0.06434597]
晚安,[0.14623515]
熟视无睹,[0.09668787]
看花,[0.32998762]
常平,[-0.14618187]
目测,[-0.1971047]
三回,[0.41085798]
中伤,[-0.42482737]
龌龊,[-0.30061832]
下回,[-0.00497075]
不要,[0.04281887]
你们,[0.21149176]
心酸,[0.20138136]
奇妙,[-0.38652536]
没落,[-0.46557778]
敷衍,[-0.07556234]
被窝,[0.07684289]
大唐,[-0.29625008]
有种,[0.19488305]
真心,[-0.0061748]
奋斗,[-0.01345298]
因为,[0.12865978]
流泪,[0.50030315]
你好,[-0.18623638]
气息,[-0.04300558]
周末,[0.1881398]
活力,[-0.47727403]
疑惑,[0.09421962]
就是,[-0.26635224]
中学,[-0.34935886]
犹豫,[-0.25065026]
难得,[-0.00217829]
一回,[-0.3823692]
想象,[-0.33906832]
充满,[-0.47401175]
主动,[-0.06726891]
不错,[0.26335377]
估计,[-0.13466336]
是不是,[-0.27815446]
朋友,[0.42569906]
听到,[0.35993832]
第一次,[-0.03086172]
感觉,[0.21349734]
真的,[-0.11850716]
个人,[0.09029299]
那样,[0.03702186]
只能,[-0.13520606]
以前,[0.3668646]
考虑,[0.4892471]
除了,[-0.23995638]
如今,[0.26688346]
城市,[-0.05607959]
的话,[0.02700591]
这么,[-0.12788907]
这里,[-0.09989683]
需要,[-0.40652582]
一般,[-0.44789222]
时候,[-0.32316673]
知道,[0.29745594]
这样,[-0.15657897]
不是,[0.20228054]
这个,[0.01099879]
